名称,迭代,优先级,状态,类型,负责人,开始日期,截止日期,描述
MySQL 数据库设计与建表,V1.0 MVP,高,已完成,开发,陈鹏,2026-05-01,2026-05-05,races/stages/riders/teams/stage_results/jerseys/GC/points/mountains/youth 等核心数据表
服务端核心 API 开发,V1.0 MVP,高,已完成,开发,陈鹏,2026-05-06,2026-05-12,races/stages/riders/teams/search/stats/realtime/push 全部路由 + WebSocket + 管理后台 CRUD
环意 2026 赛段数据采集入库,V1.0 MVP,高,已完成,数据,陈鹏,2026-05-10,2026-05-14,PCS爬虫开发 + Stage 1-15 数据导入含车手国籍修复与去重
小程序前端 12 页面开发,V1.0 MVP,高,已完成,前端,陈鹏,2026-05-15,2026-05-19,首页/赛事详情/赛段成绩/车手/车队/搜索/日历/积分榜/个人中心/推送设置
Fly.io + TiDB Cloud 生产部署,V1.0 MVP,高,已完成,运维,陈鹏,2026-05-19,2026-05-23,Docker部署 + 生产数据库连接 + 微信域名白名单
175 场 UCI 赛事基础数据入库,V1.0 MVP,中,已完成,数据,陈鹏,2026-05-12,2026-05-14,赛事表 + 中文名称翻译 + 国家信息
微信登录 — 服务端 auth 路由,V1.1 用户体系,高,已完成,后端,陈鹏,2026-05-25,2026-05-25,code2Session → UUID token → authMiddleware → push路由保护
微信登录 — 小程序端集成,V1.1 用户体系,高,已完成,前端,陈鹏,2026-05-25,2026-05-25,app.js静默登录 + request.js自动注入token
服务端部署更新 + TiDB建表,V1.1 用户体系,高,实现中,运维,陈鹏,2026-05-26,2026-05-26,Fly.io部署auth路由 + user_tokens生产建表 + WECHAT_SECRET配置
赛事百科内容建设（182条中英双语术语）,V1.1 内容,高,已完成,内容,陈鹏,2026-05-25,2026-05-25,4大分类 + 搜索筛选 + 详情弹窗 + Tab入口
全12页面分享功能,V1.1 内容,中,已完成,前端,陈鹏,2026-05-25,2026-05-25,onShareAppMessage + onShareTimeline
性别标签显示修复,V1.1 内容,高,已完成,前端,陈鹏,2026-05-25,2026-05-25,WXS兼容问题修复 + genderLabel预计算方案
环意 Stage 16-21 剩余赛段数据,V1.2 体验优化,高,待开始,数据,陈鹏,2026-06-06,2026-06-08,剩余6个赛段数据采集与入库
环法 2026 数据准备,V1.2 体验优化,中,待开始,数据,陈鹏,2026-06-09,2026-06-12,赛事建立 + 数据采集流程
微信订阅消息推送,V1.2 体验优化,高,待开始,后端,陈鹏,2026-06-12,2026-06-16,模板配置 + 赛段结束自动推送 + 定时任务
下拉刷新 + 上拉加载更多,V1.2 体验优化,中,待开始,前端,陈鹏,2026-06-16,2026-06-18,全页面统一交互优化
个人中心 — 关注车手/车队,V1.2 体验优化,中,待开始,前端,陈鹏,2026-06-18,2026-06-22,关注列表 + 本地存储 + 数据联动
搜索增强,V1.2 体验优化,低,待开始,前端,陈鹏,2026-06-22,2026-06-25,历史记录 + 赛事搜索过滤
数据导入自动化 — cron爬虫定时任务,V1.3 智能化,高,待开始,后端,陈鹏,2026-07-01,2026-07-07,PCS自动爬取 + 新数据入库 + 异常告警
车手战绩对比,V1.3 智能化,低,待开始,前端,陈鹏,2026-07-08,2026-07-14,同场竞技数据对比 + 可视化
用户行为埋点分析,V1.3 智能化,低,待开始,后端,陈鹏,2026-07-15,2026-07-21,页面访问 + 搜索热词 + 车手关注度
